date,date_text,fires
2017-08-25,"Aug. 25, 2017",3
2017-08-26,"Aug. 26, 2017",0
2017-08-27,"Aug. 27, 2017",0
2017-08-28,"Aug. 28, 2017",32
2017-08-29,"Aug. 29, 2017",12
2017-08-30,"Aug. 30, 2017",6
2017-08-31,"Aug. 31, 2017",0
2017-09-01,"Sep. 1, 2017",0
2017-09-02,"Sep. 2, 2017",0
2017-09-03,"Sep. 3, 2017",6
2017-09-04,"Sep. 4, 2017",7
2017-09-05,"Sep. 5, 2017",0
2017-09-06,"Sep. 6, 2017",0
2017-09-07,"Sep. 7, 2017",2
2017-09-08,"Sep. 8, 2017",0
2017-09-09,"Sep. 9, 2017",0
2017-09-10,"Sep. 10, 2017",0
2017-09-11,"Sep. 11, 2017",12